,,,,KDA,À»±þ,§U§ð
2019,®L©u,ONE,BaiYa,¡Û,3,10
2019,®L©u,ONE,YuXiao,¡Û,2,3
2019,®L©u,MAD,Winds,20,6,14
2019,®L©u,HKA,TheMan,7.37,142,175
2019,®L©u,ONE,HuaLin,6.69,105,236
2019,®L©u,NVM,KuKu,6.08,44,333
2019,®L©u,ONE,Tura,5.59,150,202
2019,®L©u,ONE,Fanta,5.43,35,329
2019,®L©u,HKA,EZ,5.31,113,248
2019,®L©u,NVM,One,5.03,121,171
2019,®L©u,NVM,Wei,4.44,93,222
2019,®L©u,HKA,XiaoLin,4.37,148,193
2019,®L©u,FW,Wayn,4.36,124,133
2019,®L©u,ONE,XianYo,4.3,146,185
2019,®L©u,TXO,Hanzo,4.28,113,212
2019,®L©u,HKA,Abao,4.28,30,355
2019,®L©u,TXO,Chichi,4.16,137,192
2019,®L©u,ONE,KID,3.81,52,215
2019,®L©u,HKA,Outcast,3.8,70,162
2019,®L©u,FW,XiXi,3.62,69,166
2019,®L©u,MAD,Star,3.46,85,164
2019,®L©u,TXO,Genji,3.45,37,308
2019,®L©u,NVM,Soar,3.29,154,198
2019,®L©u,MAD,3.22,3.04,32,239
2019,®L©u,TXO,Sirenia,2.94,78,178
2019,®L©u,MAD,Neil,2.73,108,138
2019,®L©u,FW,ERIC,2.6,85,128
2019,®L©u,TXO,Liang,2.58,101,196
2019,®L©u,MAD,3.27,2.56,102,123
2019,®L©u,FW,XinYi,2.36,6,20
2019,®L©u,FW,Gua,2.23,24,230
2019,®L©u,NVM,MG,2.16,57,150
2019,®L©u,FW,Heroes,1.98,73,145
2019,®L©u,SMG,Hong,1.89,51,123
2019,®L©u,SMG,Nnn,1.89,8,60
2019,®L©u,MAD,Yuzon,1.88,58,141
2019,®L©u,SMG,Kato,1.84,75,107
2019,®L©u,SMG,DanDan,1.71,69,92
2019,®L©u,SMG,Peanut,1.52,38,93
2019,®L©u,SMG,Ray,1.35,8,73
2019,®L©u,MAD,OM,0.57,4,9
2019,®L©u,SMG,Juan,0.46,6,25
2019,¬K©u,MAD,OM,15.75,8,55
2019,¬K©u,MAD,XinYi,15.5,8,23
2019,¬K©u,ONE,GoDDog,9.29,20,45
2019,¬K©u,MAD,Star,6.44,89,188
2019,¬K©u,ONE,Fanta,5.77,39,307
2019,¬K©u,ONE,Tura,5.14,124,174
2019,¬K©u,TXO,Hanzo,5.1,117,240
2019,¬K©u,MAD,Neil,5.07,162,178
2019,¬K©u,TXO,Chichi,4.79,150,185
2019,¬K©u,TXO,Genji,4.57,44,299
2019,¬K©u,ONE,HuaLin,4.47,108,169
2019,¬K©u,NVM,Lang,4.42,131,165
2019,¬K©u,ONE,XianYo,4.1,138,186
2019,¬K©u,TXO,Sirenia,4.04,84,191
2019,¬K©u,MAD,Benny,3.96,32,237
2019,¬K©u,NVM,KuKu,3.86,33,299
2019,¬K©u,NVM,One,3.74,121,178
2019,¬K©u,MAD,Yuzon,3.27,99,146
2019,¬K©u,TXO,Liang,3.15,125,181
2019,¬K©u,ONE,KID,3.15,53,142
2019,¬K©u,MAD,Winds,3.11,98,166
2019,¬K©u,FW,Ran,2.92,23,199
2019,¬K©u,HKA,TheMan,2.76,96,122
2019,¬K©u,NVM,Soar,2.63,117,164
2019,¬K©u,HKA,EZ,2.55,54,142
2019,¬K©u,FW,Wayn,2.54,83,123
2019,¬K©u,HKA,XiaoLin,2.51,100,113
2019,¬K©u,NVM,MG,2.49,62,172
2019,¬K©u,HKA,Abao,2.39,31,208
2019,¬K©u,FW,XiXi,2.35,113,108
2019,¬K©u,FW,ERIC,2.21,48,120
2019,¬K©u,FW,Heroes,2.04,76,128
2019,¬K©u,HKA,Outcast,1.92,46,104
2019,¬K©u,SMG,Hong,1.62,51,95
2019,¬K©u,SMG,DinDin,1.5,19,26
2019,¬K©u,NVM,Wei,1.5,4,5
2019,¬K©u,SMG,Mid,1.45,30,135
2019,¬K©u,SMG,Xiao,1.34,69,88
2019,¬K©u,SMG,Kato,1.3,5,21
2019,¬K©u,SMG,Peanut,1.16,25,27
2019,¬K©u,SMG,QianYo,1.09,8,30
2019,¬K©u,SMG,Joey,1.08,38,58
2019,¬K©u,NVM,Only,1,0,2
2019,¬K©u,FW,RB,0.88,4,3
2018,®L©u,JT,Star,8.1,96,155
2018,®L©u,SMG,Chichi,6.6,133,144
2018,®L©u,FW,XiXi,6.17,78,107
2018,®L©u,ahq,Chaser,5.88,32,109
2018,®L©u,JT,Neil,5.27,136,138
2018,®L©u,ahq,Rush,4.74,118,152
2018,®L©u,SMG,Sirenia,4.66,58,147
2018,®L©u,JT,Winds,4.55,73,168
2018,®L©u,JT,Benny,4.48,12,230
2018,®L©u,MAD,Ronin,4.4,33,77
2018,®L©u,ONE,HuaLin,4.23,95,129
2018,®L©u,ahq,JJAK,4.11,27,232
2018,®L©u,ahq,HAK,4.03,94,152
2018,®L©u,JT,YuZon,3.93,44,129
2018,®L©u,FW,Wayn,3.91,103,108
2018,®L©u,ONE,XianYo,3.9,93,149
2018,®L©u,SMG,Genji,3.85,30,232
2018,®L©u,ahq,Sun,3.73,51,117
2018,®L©u,FW,IceFenG,3.71,44,123
2018,®L©u,ONE,Ting,3.71,44,123
2018,®L©u,ONE,Tura,3.59,45,52
2018,®L©u,SMG,Hanzo,3.58,101,153
2018,®L©u,FW,Ran,3.5,22,167
2018,®L©u,MAD,XinYi,3.49,76,130
2018,®L©u,ONE,Lover,3.41,53,121
2018,®L©u,ONE,Fanta,3.39,21,220
2018,®L©u,FW,Heroes,3.2,56,117
2018,®L©u,MS,KuKu,3.13,3,47
2018,®L©u,FW,Missing,3.11,11,17
2018,®L©u,MAD,Soar,3.03,92,126
2018,®L©u,HKA,Wesker,2.98,34,85
2018,®L©u,MAD,OM,2.6,26,169
2018,®L©u,MAD,BVEL,2.59,44,119
2018,®L©u,SMG,Liang,2.56,60,150
2018,®L©u,MS,YN,2.5,8,12
2018,®L©u,HKA,EZ,2.41,62,85
2018,®L©u,MS,Wei,2.26,66,110
2018,®L©u,MS,One,2.24,64,111
2018,®L©u,ahq,Pyu,2.23,20,38
2018,®L©u,HKA,Lantyr,2.15,69,92
2018,®L©u,MS,Only,2.05,48,71
2018,®L©u,MAD,Joey,2.03,22,41
2018,®L©u,FW,ERIC,2,2,8
2018,®L©u,ONE,YuXiao,2,1,7
2018,®L©u,HKA,Mid,1.94,10,83
2018,®L©u,HKA,LuYao,1.69,5,17
2018,®L©u,MS,Mori,1.6,28,111
2018,®L©u,HKA,GarnetD,1.44,15,37
2018,®L©u,HKA,Beicun,1.39,20,48
2018,®L©u,HKA,for,1.14,8,41
2018,®L©u,MS,MG,1.13,33,73
2018,®L©u,MS,Lai,1,0,10
2018,®L©u,HKA,Outcast,0.89,4,12
2018,®L©u,MS,Pei,0.8,2,6
2018,¬K©u,JT,Star,8.43,158,230
2018,¬K©u,JT,Benny,5.36,29,314
2018,¬K©u,JT,Neil,5.29,192,268
2018,¬K©u,MS,Wei,4.95,178,198
2018,¬K©u,SMG,Genji,4.92,48,336
2018,¬K©u,SMG,Hanzo,4.62,190,230
2018,¬K©u,JT,Winds,4.58,110,279
2018,¬K©u,ahq,Fanta,4.53,91,235
2018,¬K©u,SMG,Wayn,4.46,30,77
2018,¬K©u,ONE,XianYo,4.45,162,283
2018,¬K©u,MS,One,4.39,107,231
2018,¬K©u,ONE,Lover,4.34,97,272
2018,¬K©u,JT,YuZon,4.23,91,239
2018,¬K©u,SMG,Sirenia,4.19,63,155
2018,¬K©u,ahq,DS,4.09,93,140
2018,¬K©u,ONE,HuaLin,4.08,206,231
2018,¬K©u,SMG,Chichi,4.05,120,216
2018,¬K©u,ST,Ray,4,15,205
2018,¬K©u,ahq,Miss,3.83,82,144
2018,¬K©u,HKA,Wesker,3.73,71,160
2018,¬K©u,SMG,Liang,3.55,105,246
2018,¬K©u,ONE,Ting,3.48,86,252
2018,¬K©u,ahq,GoDDog,3.2,16,16
2018,¬K©u,MS,Soar,3.19,130,246
2018,¬K©u,ST,Scott,3.16,16,164
2018,¬K©u,ahq,Tuna,3.07,27,148
2018,¬K©u,MS,Mid,3.05,29,224
2018,¬K©u,JT,Chawan,3,5,37
2018,¬K©u,HKA,EZ,2.99,124,130
2018,¬K©u,ahq,nT,2.86,18,108
2018,¬K©u,MAD,Kamama,2.85,73,121
2018,¬K©u,ONE,DinDin,2.82,14,34
2018,¬K©u,ahq,Gus,2.79,76,175
2018,¬K©u,MAD,OM,2.76,98,145
2018,¬K©u,JT,Tuna,2.63,9,70
2018,¬K©u,MS,MG,2.5,54,241
2018,¬K©u,ahq,Chawan,2.44,23,55
2018,¬K©u,MS,Lai,2.42,17,63
2018,¬K©u,MAD,Joey,2.35,71,166
2018,¬K©u,MAD,Olala,1.94,5,63
2018,¬K©u,ahq,Kiss,1.78,10,22
2018,¬K©u,MAD,Shadow,1.77,32,136
2018,¬K©u,HKA,Lantyr,1.75,26,156
2018,¬K©u,HKA,LuYao,1.72,74,134
2018,¬K©u,MAD,BVEL,1.69,42,156
2018,¬K©u,MAD,XinYi,1.64,27,27
2018,¬K©u,HKA,Beicun,1.62,39,142
2018,¬K©u,HKA,Outcast,1.42,10,24
2018,¬K©u,HKA,JJLin,1.2,7,29
2018,¬K©u,HKA,LastHope,0.6,0,12
2018,¬K©u,MAD,White,0.5,0,4
2018,¬K©u,ST,Ben,0.33,0,1
2018,¬K©u,HKA,PeiPei,0.25,0,1
